Id,Name,Team_Allocation_Template__c,GUS_URL__c,Team_Allocation_Template__r.Name
a0IP000000NegCfMAJ,GV-Calyx,a0HP0000008nECyMAM,https://gus.lightning.force.com/lightning/r/ADM_Scrum_Team__c/a00B000000AThFjIAL/view,Development Team
a0IP000000NegCgMAJ,Industries RCG Offline App,a0HP0000008nECyMAM,https://gus.lightning.force.com/lightning/r/ADM_Scrum_Team__c/a00AH000000imWlYAI/view,Development Team
a0IP000000NegChMAJ,RE-Jarvis,a0HP0000008nECyMAM,https://gus.lightning.force.com/lightning/r/ADM_Scrum_Team__c/a00B0000008fpEDIAY/view,Development Team
a0IP000000NegCiMAJ,Industries Mobile Offline Client,a0HP0000008nECyMAM,https://gus.lightning.force.com/lightning/r/ADM_Scrum_Team__c/a00AH000000imWgYAI/view,Development Team
